date_time,seedling_ID,photo_ID,sample
9/28/22,3722,2022_0928_134340_012,2
9/28/22,3582,2022_0928_134520_014,2
9/28/22,4416,2022_0928_134644_016,2
9/28/22,4327,2022_0928_134828_018,2
9/28/22,3255,2022_0928_134949_020,2
9/28/22,3953,2022_0928_135146_022,2
9/28/22,4369,2022_0928_135305_024,2
9/28/22,3279,2022_0928_135412_026,2
9/28/22,3281,2022_0928_135508_028,2
9/28/22,4241,2022_0928_135639_030,2
9/28/22,4362,2022_0928_135745_032,2
9/28/22,3617,2022_0928_135929_034,2
9/28/22,3592,2022_0928_140051_036,2
9/28/22,3858,2022_0928_140306_038,2
9/28/22,3832,2022_0928_140429_040,2
9/28/22,3043,2022_0928_140625_042,2
9/28/22,3688,2022_0928_140747_044,2
9/28/22,3737,2022_0928_140855_046,2
9/28/22,4122,2022_0928_141026_048,2
9/28/22,4391,2022_0928_141158_050,2
9/28/22,4341,2022_0928_141317_052,2
9/28/22,3369,2022_0928_141450_054,2
9/28/22,3740,2022_0928_141610_056,2
9/28/22,3745,2022_0928_141804_058,2
9/28/22,3756,2022_0928_141920_060,2
9/28/22,3901,2022_0928_142032_062,2
9/28/22,4277,2022_0928_142135_064,2
9/28/22,4326,2022_0928_142245_066,2
9/28/22,4032,2022_0928_142418_068,2
9/28/22,4212,2022_0928_142543_070,2
9/28/22,4145,2022_0928_142739_072,2
9/28/22,3189,2022_0928_142911_074,2
9/28/22,3565,2022_0928_143031_076,2
9/28/22,3349,2022_0928_143143_078,2
9/28/22,3891,2022_0928_143251_080,2
9/28/22,3974,2022_0928_143424_082,2
9/28/22,3001,2022_0928_143549_084,2
9/28/22,4371,2022_0928_143724_086,2
9/28/22,3744,2022_0928_143838_088,2
9/28/22,4235,2022_0928_143951_090,2
9/28/22,4054,2022_0928_144121_092,2
9/28/22,3567,2022_0928_144238_094,2
9/28/22,3917,2022_0928_144439_096,2
9/28/22,3938,2022_0928_144615_098,2
9/28/22,3896,2022_0928_144728_100,2
9/28/22 15:09,3782,2022_0928_144854_102,2
9/28/22 15:11,3628,2022_0928_145005_104,2
9/28/22,3240,2022_0928_164423_002,2
9/28/22,4067,2022_0928_164546_004,2
9/28/22,4149,2022_0928_164715_006,2
9/28/22,4030,2022_0928_164831_008,2
9/28/22,3275,2022_0928_165002_010,2
9/28/22,3801,2022_0928_165116_012,2
9/28/22,3921,2022_0928_165253_014,2
9/28/22,3972,2022_0928_165414_018,2
9/28/22,3760,2022_0928_165521_020,2
9/28/22,4026,2022_0928_165643_022,2
9/28/22,3887,2022_0928_165858_024,2
9/28/22,4307,2022_0928_170007_026,2
9/28/22,3796,2022_0928_170136_028,2
9/28/22,3683,2022_0928_170241_030,2
9/28/22,4117,2022_0928_170357_032,2
9/28/22,3843,2022_0928_170500_034,2
9/28/22,4361,2022_0928_170604_036,2
9/28/22,3847,2022_0928_170704_038,2
9/28/22,4261,2022_0928_170825_040,2
9/28/22,3954,2022_0928_170939_042,2
9/28/22,3696,2022_0928_171134_044,2
9/28/22,3963,2022_0928_171330_046,2
9/28/22,3876,2022_0928_171452_048,2
9/28/22,3586,2022_0928_171652_050,2
9/28/22,4286,2022_0928_171815_052,2
9/28/22,3997,2022_0928_171918_054,2
9/28/22,4246,2022_0928_172032_056,2
9/28/22,3711,2022_0928_172210_058,2
9/28/22,4266,2022_0928_172916_066,2
9/28/22,4398,2022_0928_173029_068,2
9/28/22,3774,2022_0928_173234_070,2
9/28/22,3965,2022_0928_173429_072,2
9/28/22,3012,2022_0928_173549_074,2
9/28/22,4165,2022_0928_173708_076,2
9/28/22,3545,2022_0928_173827_078,2
9/28/22,3184,2022_0928_173933_080,2
9/28/22,3505,2022_0928_174202_082,2
9/28/22,3496,2022_0928_174320_084,2
9/28/22,4305,2022_0928_174443_086,2
9/28/22,4310,2022_0928_174611_088,2
9/28/22,3605,2022_0928_174754_090,2
9/28/22,4037,2022_0928_174912_092,2
9/28/22,3552,2022_0928_175040_094,2
9/28/22,4070,2022_0928_175205_096,2
9/28/22,3936,2022_0928_175311_098,2
