Pot ID,Drought or control,Moisture,Date
211151,C,16, 10232022
211323,C,15, 10232022
211325,C,14, 10232022
211102,C,14, 10232022
211304,C,14, 10232022
211204,C,14, 10232022
211124,C,18, 10232022
211034,C,15, 10232022
211166,C,12, 10232022
211103,C,17, 10232022
211153,C,17, 10232022
211148,C,28, 10232022
211115,C,17, 10232022
211075,C,17, 10232022
211229,C,19, 10232022
211245,C,15, 10232022
211196,C,13, 10232022
211250,C,15, 10232022
211256,C,21, 10232022
211265,C,14, 10232022
211036,C,12, 10232022
211268,C,19, 10232022
211255,C,14, 10232022
211191,C,17, 10232022
211188,C,28, 10232022
211279,C,20, 10232022
211294,C,20, 10232022
211184,C,23, 10232022
211306,C,22, 10232022
211215,C,15, 10232022
211136,C,19, 10232022
211243,C,17, 10232022
211139,C,15, 10232022
211066,C,14, 10232022
211307,C,15, 10232022
211288,C,15, 10232022
211163,C,17, 10232022
211199,C,13, 10232022
211319,C,14, 10232022
211236,C,18, 10232022
211172,C,17, 10232022
211053,C,17, 10232022
211060,C,15, 10232022
211232,C,27, 10232022
211105,C,19, 10232022
211019,C,25, 10232022
211038,C,16, 10232022
211052,C,16, 10232022
211134,C,15, 10232022
211039,C,15, 10232022
211095,C,16, 10232022
211154,C,19, 10232022
211234,C,12, 10232022
211240,C,19, 10232022
211311,C,17, 10232022
211210,C,17, 10232022
211281,C,18, 10232022
211004,C,16, 10232022
211175,C,17, 10232022
211008,C,14, 10232022
211064,C,16, 10232022
211303,C,15, 10232022
211173,C,20, 10232022
211069,C,24, 10232022
211336,C,17, 10232022
211033,C,17, 10232022
211205,C,25, 10232022
211030,C,18, 10232022
211194,C,15, 10232022
211347,C,13, 10232022
211068,C,14, 10232022
211270,C,14, 10232022
211091,C,15, 10232022
211046,C,15, 10232022
211015,C,15, 10232022
211058,C,18, 10232022
211335,C,17, 10232022
211298,C,16, 10232022
211097,C,17, 10232022
211120,C,17, 10232022
211231,C,20, 10232022
211150,C,14, 10232022
211186,C,24, 10232022
211183,C,18, 10232022
211118,C,21, 10232022
211048,C,21, 10232022
211078,C,19, 10232022
211318,C,18, 10232022
211284,C,16, 10232022
211090,C,22, 10232022
211073,C,17, 10232022
211050,C,19, 10232022
211108,C,17, 10232022
211076,C,18, 10232022
211260,C,13, 10232022
211242,C,18, 10232022
211283,C,20, 10232022
211299,C,17, 10232022
211035,C,18, 10232022
211087,C,24, 10232022
211013,C,18, 10232022
211217,C,22, 10232022
211197,C,16, 10232022
211200,C,17, 10232022
211264,C,18, 10232022
211152,C,22, 10232022
211065,C,20, 10232022
211280,C,18, 10232022
211088,C,16, 10232022
211190,C,17, 10232022
211266,C,17, 10232022
211301,C,7, 10232022
211277,C,7, 10232022
